source_id,tier,title,date,url,source_location,recovery_questions,primary_state,equations_present,construction_steps_present,continuous_free_parameters_remain,images_metric,key_evidence,follow_up,inspection_status,turn_count_convention,structural_relation_status
TA11,A-direct,Squaring the Circle construction graphic (quadil01.gif),1999 graphic,https://www.meru.org/3220lecture/quadil01.gif,entire graphic,"RQ3,RQ5,RQ7,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,no,yes,yes,operational schematic,"Graphic explicitly states: cut the circular ring, curl it into a 3-D vortex, and bend the tangent line to parallel the end. The amount/path of curling and bending are not specified.",Search for a later source that supplies the missing curl/bend rule.,inspected,NOT_APPLICABLE_OR_NOT_EXPLICIT,
TA12,A-direct,Appendix to the Hebrew Letters - FIRST HAND,1994,https://www.meru.org/Torus4Apndix/Appendix.html,49/50 tetrahedra discussion and model-Hand section,"RQ3,RQ5,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,no unique continuous curve equation,discrete length/scaffold constraints,yes,mixed,"States one model Hand has length 49 tetrahedra (50 with thumb-tip tetrahedron) and relates it to the 3,10 torus-knot / tetrahelical framework.",Determine whether TORUS Vol.2 #2/#4 supplies an exact embedding rule.,inspected,NOT_APPLICABLE_OR_NOT_EXPLICIT,
TA13,A-direct,Meru Keynote / Coast Archive construction index,2007-2009 index descriptions,https://meru.org/keynoteindex.html,Arm of God and Squaring the Circle descriptions,"RQ1,RQ3,RQ5",REFERENCE_TO_MISSING_CONSTRUCTION,index only,index points to construction sources,unknown,n/a,Meru explicitly describes The Arm of God as explaining FIRST HAND construction and separately points readers to Squaring the Circle for a craftsman's construction version.,Complete Arm of God inspection; inspect construction video/lecture.,inspected,NOT_APPLICABLE_OR_NOT_EXPLICIT,
TA14,A-direct,The Dirac String Trick - First Hand,1997,https://www.meru.org/coast/DiracPC71997.pdf,Complete 2-page document,"RQ3,RQ5,RQ7,RQ8",DESCRIPTIVE_ONLY,no FIRST HAND construction equation,no deterministic FIRST HAND shaping sequence,yes,illustrative/dynamic/topological; 60-degree sculpture label not sufficient to define shape,"Describes a flexible Dirac ribbon linking in-sphere and out-sphere, double-covering motion, and the Philippine wine dance. Defines First Hand as an expression of this process and as a section of a hypersphere modeled as an apple-shaped 2-torus. States the sculpture is designed to express this metaphor and shows a '60-degree FIRST HAND Sculpture'. It gives no unique curve, no explicit mapping from reciprocal spiral to the sculpture, and no parallel/bend/self-embed instruction.","Use as topology/dynamic provenance only. Search other registered sources for the missing continuous shaping rule and for the meaning, if any, of the 60-degree label.",inspected-complete,LATER_3_TURN_FULL_STRUCTURE_CONVENTION,TOPOLOGICAL_DYNAMIC_MODEL_NOT_METRIC_CONSTRUCTION
TA15,A-direct,Meru Coast / Shape of Information source index,2007-era index,https://www.meru.org/coast/index.html,"Shape of Information construction-source index, especially construction links","RQ1,RQ3,RQ5,RQ7",ARCHIVAL_PROVENANCE_ONLY,no,no; index directs to construction sources,n/a,n/a,"The index says the FIRST HAND vortex is based on the reciprocal spiral and directs readers to The Arm of God for ways the vortex can be created, with Squaring the Circle separately identified as a craftsman's construction version. No third page containing the claimed three algebraic function sets is identified in this construction index.",Treat Arm of God and Squaring the Circle as the explicit construction destinations named by this index; continue registered search for any separately named algebraic source.,inspected-complete,LATER_CONVENTION,CONSTRUCTION_INDEX_POINTS_TO_ARM_AND_CRAFT_ROUTE
TA16,A-direct,Meru DVD supplementary materials index,post-2009 web index,https://www.meru.org/supplementarymaterials1.html,DVD construction-related supplementary materials,"RQ1,RQ3,RQ5,RQ8",ARCHIVAL_PROVENANCE_ONLY,no new FIRST HAND equations,index only,n/a,n/a,Indexes the public supplementary materials for Meru's lecture series. For the construction-relevant DVDs it points to Continuous Creation: A General Projective Principle and to Squaring the Circle with Straight Edge and Compass. It does not identify the claimed three algebraic function sets.,Inspect linked Continuous Creation material for construction constraints; treat the 2009 Dynamics video separately because its audiovisual content is not exposed by this index.,inspected-complete,LATER_CONVENTION,SUPPLEMENTARY_INDEX_NO_ALGEBRAIC_SET_NAMES
TA17,A-direct,A Model of Continuous Creation,1993/1996/1999,https://www.meru.org/contin.html,complete index page and linked construction references,"RQ3,RQ5,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,no,"topological/discrete model references, not metric shaping",yes,poster/animation references,"Identifies the Continuous Creation poster and explicitly points to the 3,10 Torus Knot, Ring, Sphere, Tetrahelix and Hand poster and 3,10 animations showing three pairs of FIRST HAND models. It supplies no unique continuous transformation from the 3,10 scaffold to the finished endpoint-parallel FIRST HAND curve.",Use as scaffold provenance; no new metric shaping rule recovered.,inspected-complete,LATER_CONVENTION,DISCRETE_TOPOLOGICAL_SCAFFOLD_ONLY
TA18,A-direct,The Dynamics of a Circle and a Line,2009,https://meru.org/Videos/CircleLine.html,official Meru video page; embedded YouTube ID 8rwI7kZLepA,"RQ3,RQ5,RQ7,RQ8",REFERENCE_TO_MISSING_CONSTRUCTION,not assessable from exposed page,page identifies video as construction of FIRST HAND; audiovisual content not recovered,unknown,video,"Meru's official Videos page identifies the 3:58 2009 excerpt 'The Dynamics of a Circle and a Line' as 'The construction of the Meru First Hand model, and its philosophical meaning.' The official web page exposes no transcript in the registered search. The video content itself was therefore not classified beyond the source-level construction claim.",Content may be inspected later only if a transcript or lawfully accessible local copy becomes available; Tier-A closure does not depend on obtaining this access-limited audiovisual source.,official-source-identified-content-not-recovered,LATER_CONVENTION,AUDIOVISUAL_CONSTRUCTION_SOURCE_CONTENT_NOT_RECOVERED
TA19,A-archived,A01 — reciprocal spiral theta construction,archived before preregistration,repository archived asset; source context: The Arm of God / Most Asymmetric Spiral,Frozen A01 primary-source asset,"RQ1,RQ5,RQ6",PARTIAL_UNDERDETERMINED_CONSTRUCTION,yes: reciprocal/hyperbolic radial law r*theta=1,planar radial law / turn-span ingredient only,yes for finished 3-D shaping,formula/diagrammatic ingredient; not a complete 3-D construction,A01 preserves the reciprocal/hyperbolic spiral ingredient and angular construction context. It does not specify the unique continuous transformation from the planar reciprocal spiral to the finished endpoint-parallel FIRST HAND.,No new A01-derived shaping rule. Treat as recovered seed-law evidence only.,inspected-complete,LATER_OR_FORMULA_CONTEXT,RECIPROCAL_SEED_LAW_ONLY
TA20,A-archived,A02 — Meeting Tent source image,1986-era source,https://www.meru.org/lightintent/lightin.html,Frozen A02 primary-source asset,"RQ3,RQ5,RQ6,RQ8",DESCRIPTIVE_ONLY,no unique finished-form equation,historical symmetry/asymmetry model only,yes,illustrative historical working model,"A02 belongs to the early Light-in-the-Meeting-Tent model. Meru explicitly warns that the 1986 document was a working hypothesis containing errors and later terminology changes. It establishes the tetrahedron/vortex symmetry-asymmetry correspondence, not a deterministic finished FIRST HAND shaping rule.",Historical/terminological evidence only.,inspected-complete,EARLY_3_1_2_FULL_VORTEX_CONVENTION,EARLY_WORKING_MODEL_NOT_FINAL_METRIC_CONSTRUCTION
TA21,A-archived,A03 — early toroidal vortex,1986-era source,https://www.meru.org/lightintent/lightin.html,Frozen A03 primary-source asset,"RQ3,RQ5,RQ6",DESCRIPTIVE_ONLY,no,qualitative toroidal-vortex placement,yes,illustrative,A03 shows the early toroidal vortex concept. The corresponding 1986 text describes a half-ribbon vortex from torus singularity/axle to rim but does not specify a metric carrier or unique 3-D embedding.,No deterministic shaping recovered.,inspected-complete,EARLY_3_1_2_FULL_VORTEX_CONVENTION,EARLY_TOROIDAL_CONCEPT_ONLY
TA22,A-archived,A04 — seven-region toroidal ribbon,1986-era source,https://www.meru.org/lightintent/lightin.html,Frozen A04 primary-source asset,"RQ3,RQ5,RQ6",PARTIAL_UNDERDETERMINED_CONSTRUCTION,no continuous metric equation,7-color-map / toroidal ribbon topology,yes,topological / schematic,"A04 records the seven-region toroidal ribbon scaffold. The source says the 2-torus is defined by a cyclic 7-color map on a multi-turn ribbon and later changes the turn-count convention without changing the underlying vortex. This is topological/discrete scaffold evidence, not a unique continuous FIRST HAND curve.",No new map from 7-region ribbon to endpoint-parallel finished hand.,inspected-complete,EARLY_3_1_2_FULL_VORTEX_CONVENTION,SEVEN_REGION_TOPOLOGICAL_SCAFFOLD
TA23,A-archived,A05 — tetrahedral correspondence,1986-1996 source family,https://www.meru.org/lightintent/lightin.html,Frozen A05 primary-source asset,"RQ3,RQ5,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,no finished-form equation,symmetry/asymmetry correspondence; tetrahedral viewing frame,yes,correspondence diagram,A05 supports the claimed correspondence between the symmetric tetrahedral frame and the asymmetric vortex/hand. Meru sources use the tetrahedron as the viewing/vessel frame whose 2-D projections expose letter forms. The correspondence does not determine the vortex metric.,Treat as viewing/scaffold constraint only.,inspected-complete,NOT_CENTRAL,TETRAHEDRAL_VIEWING_FRAME_NOT_SHAPING_RULE
TA24,A-archived,A06 — Hebrew letter projections,1994-1997 source family,https://meru.org/Gestures/Alphachart.html,Frozen A06 primary-source asset,"RQ3,RQ5,RQ8",DESCRIPTIVE_ONLY,no,projection/output examples only,yes,letter/shadowgram output evidence; not construction data,"A06 is downstream evidence for the projection claim: different views/gestures of one physical FIRST HAND model are compared with Hebrew letter forms. The published chart description says the drawings are tracings/views of the model, not an inverse construction of its geometry.",Do not use letter matches to infer missing continuous shaping parameters.,inspected-complete,NOT_APPLICABLE,PROJECTION_OUTPUT_NOT_CONSTRUCTION_DISCLOSURE
TA25,A-archived,A07 — Arabic-letter comparison,1986-era source family,https://www.meru.org/lightintent/lightin.html,Frozen A07 primary-source asset,"RQ3,RQ5,RQ8",DESCRIPTIVE_ONLY,no,projection/correspondence claim only,yes,illustrative alphabet-output evidence,"A07 belongs to the early claim that tetrahedral views of the vortex/flame yield Hebrew, Greek-script and Arabic letter forms. It supplies no deterministic metric rule for shaping the underlying FIRST HAND.",Keep separate from construction recovery; it is a downstream alphabet-generation claim.,inspected-complete,EARLY_SOURCE_CONTEXT,CROSS_ALPHABET_OUTPUT_NOT_SHAPING_RULE
TA26,A-archived,A08 — LAH Swath,1985/1996 source family,https://meru.org/Posters/lahcolor.html,Frozen A08 primary-source asset,"RQ3,RQ5,RQ8",DESCRIPTIVE_ONLY,no FIRST HAND construction equation,hierarchical symbolic/geometric correspondences,yes,symbolic poster,"A08 maps embryonic growth, dimensional growth, Platonic/polyhedral unfoldment, and alphabetic unfurlment into one LAH schema. It is a hierarchical conceptual map, not a metric construction of the finished FIRST HAND.",No shaping rule recovered.,inspected-complete,EARLY_SOURCE_CONTEXT,SYMBOLIC_HIERARCHY_NOT_METRIC_CONSTRUCTION
TA27,A-archived,A09 — FIRST HAND Hebrew chart,1994/1996,https://meru.org/Gestures/Alphachart.html,Frozen A09 primary-source asset,"RQ3,RQ5,RQ8",DESCRIPTIVE_ONLY,no,none; chart documents views of an already-existing physical model,yes,explicitly non-metric / hand-drawn output record,"The source description states that the chart and hand drawings are carefully hand-drawn tracings of shadowgrams of one physical model right hand. It explicitly acknowledges minor distortions, artistic inconsistencies, and some truncated/simplified views. Therefore A09 is strong evidence for the claimed projection outputs but is unsuitable as a metric inverse specification of the model.",Do not reverse-engineer the finished model from the hand-drawn chart as if it were metric.,inspected-complete,NOT_APPLICABLE,HAND_DRAWN_SHADOWGRAM_OUTPUT_NONMETRIC
TA28,A-archived,"A10 — 3,10 knot and tetrahelix",1992/1996 source family,https://www.meru.org/Posters/trsknotrngsphere.html,Frozen A10 primary-source asset,"RQ3,RQ5,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,"3,10 knot/topological identities; no unique dimple deformation equation",ring-to-dimple transformation diagram and tetrahedral accounting scaffold,yes,construction-like scaffold; continuous deformation unspecified,"A10 is the strongest archived discrete scaffold asset: ring form of the 3,10 knot, transformation toward a dimpled-sphere form, 99-tetrahedra central column, and hand/tetrahelix relationships. It still omits a metric deformation from ring knot to finished FIRST HAND.",Follow registered direct source trail to Tetrahelix Accounting for count relations.,inspected-complete,LATER_CONVENTION,DISCRETE_3_10_TETRAHELIX_SCAFFOLD
TA29,A-direct,Tetrahelix Accounting,1999,https://meru.org/Posters/tetraccounting.html,"3,10 row in accounting table","RQ3,RQ5,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,discrete arithmetic table,counting relation only,yes,"discrete accounting, not continuous geometry","The 3,10 row explicitly gives Total Helix Turns = 3, Total Tetrahedra = 99, and HANDS (1 1/2-T) = 6. This confirms that the source counts six 1.5-turn HANDS on/in the same 3-turn 99-tetrahedra 3,10 structure. Six hands therefore cannot be interpreted as six disjoint 49-tetrahedron partitions of the 99-tetrahedron chain. The exact phase/overlap relation is not specified by the table.",Downgrade 49/99/six-hand issue from raw arithmetic contradiction to partially resolved overlap/different-decomposition relation; exact overlap remains unresolved.,inspected-complete,LATER_3_TURN_FULL_1_1_2_HAND_CONVENTION,SIX_HAND_COUNT_CONFIRMED_DISJOINT_49_PARTITION_REJECTED
TA30,A-reference,TetraFlame Graphics,pre-1986 / exact bibliographic details not recovered,named in https://www.meru.org/lightintent/lightin.html; public copy not recovered,named reference in The Light in the Meeting Tent,"RQ3,RQ5,RQ8",REFERENCE_TO_MISSING_CONSTRUCTION,unknown; source itself not recovered,unknown,unknown,unknown,The Light in the Meeting Tent explicitly refers to a paper on 'TetraFlame Graphics' for use of letters to read/write holographic or multidimensional objects. Exact-title searches recovered the citation but no public copy. The surrounding text does not identify it as a finished FIRST HAND metric construction.,Log as named-but-unrecovered publication. Do not infer construction content from title.,bibliographically-searched-public-copy-not-recovered,EARLY_SOURCE_CONTEXT,NAMED_PUBLICATION_UNAVAILABLE_IN_REGISTERED_PUBLIC_SEARCH
TA31,A-reference,"TORUS, The Journal of the Meru Foundation, Vol.2 Nos.2-4",1990s / exact issue dates vary,later Meru sources cite these issues; full public issue files not recovered,citations in later Meru papers including Symmetry Woven into Genesis and Sepher Yetzirah,"RQ3,RQ5,RQ8",REFERENCE_TO_MISSING_CONSTRUCTION,unknown for unrecovered full issues,public web derivatives/posters inspected; fuller issue contents not recovered,unknown,unknown for full issues,"Later Meru papers cite TORUS Vol.2 Nos.2-3 for the spherical 3,10 Continuous Creation model and Vol.2 Nos.3-4 for Hebrew-letter shadows from six model hands. Registered searches recovered these citations and web descendants/posters, but not fuller public copies of the cited journal issues.",Treat fuller journal issues as named archival material not recovered in the registered public search. Existing public poster/appendix derivatives have already been inspected.,bibliographically-searched-full-public-issues-not-recovered,LATER_CONVENTION,CITED_JOURNAL_ISSUES_NOT_PUBLICLY_RECOVERED
TA32,A-direct,Symmetry Woven into the First Verse of Genesis and the Sepher Yetzirah,2001,https://www.meru.org/Lettermaps/SymmWovenGen-GenYetz.pdf,page 3,"RQ3,RQ5,RQ8",PARTIAL_UNDERDETERMINED_CONSTRUCTION,discrete tetrahelical counts; no finished FIRST HAND continuous equation,descriptive/discrete only,yes,diagrammatic,"States that the Meru Continuous Creation model is a spherical form of the 3,10 torus knot; a unit tetrahelical column has 33 tetrahedra; and the SuFI/Continuous Creation sphere divides into six model human hands whose shadows produce the Hebrew letters. It cites TORUS Vol.2 Nos.2-4 for these claims but supplies no missing continuous shaping rule.",Use as later corroboration of six-hand and TORUS provenance only.,inspected-complete,LATER_CONVENTION,LATER_SIX_HAND_SPHERICAL_3_10_CORROBORATION
